Date,Firm,Strategist,Stock Allocation %
1998-03-06,A.G. Edwards,Ray Worseck,60.0
1998-03-06,Bear Stearns,Liz Mackay,55.0
1998-03-06,Credit Suisse,Christine Callies,60.0
1998-03-06,DLJ,Eric Miller,50.0
1998-03-06,Goldman Sachs,Abby Joseph Cohen,65.0
1998-03-06,JPMorgan,Douglas Cliggott,60.0
1998-03-06,Lehman,Jeffrey Applegate,75.0
1998-03-06,Merrill Lynch,Charles Clough,40.0
1998-03-06,Morgan Stanley,Peter Canelo,75.0
1998-03-06,Oppenheimer,Michael Metz,25.0
1998-03-06,PaineWebber,Ed Kerschner,56.0
1998-03-06,Prudential,Greg Smith,65.0
1998-03-06,Salomon SB,Committee,50.0
1998-03-06,UBS,Gail Dudack,45.0
1998-03-06,Wheat First,Don Hays,53.0
1998-03-13,A.G. Edwards,Ray Worseck,60.0
1998-03-13,Bear Stearns,Liz Mackay,55.0
1998-03-13,Credit Suisse,Christine Callies,60.0
1998-03-13,DLJ,Eric Miller,50.0
1998-03-13,Goldman Sachs,Abby Joseph Cohen,65.0
1998-03-13,JPMorgan,Douglas Cliggott,60.0
1998-03-13,Lehman,Jeffrey Applegate,75.0
1998-03-13,Merrill Lynch,Charles Clough,40.0
1998-03-13,Morgan Stanley,Peter Canelo,75.0
1998-03-13,Oppenheimer,Michael Metz,25.0
1998-03-13,PaineWebber,Ed Kerschner,57.0
1998-03-13,Prudential,Greg Smith,65.0
1998-03-13,Salomon SB,Committee,50.0
1998-03-13,UBS,Gail Dudack,45.0
1998-03-13,Wheat First,Don Hays,53.0
1998-03-20,A.G. Edwards,Ray Worseck,60.0
1998-03-20,Bear Stearns,Liz Mackay,55.0
1998-03-20,Credit Suisse,Christine Callies,60.0
1998-03-20,DLJ,Eric Miller,50.0
1998-03-20,Goldman Sachs,Abby Joseph Cohen,65.0
1998-03-20,JPMorgan,Douglas Cliggott,60.0
1998-03-20,Lehman,Jeffrey Applegate,75.0
1998-03-20,Merrill Lynch,Charles Clough,40.0
1998-03-20,Morgan Stanley,Peter Canelo,75.0
1998-03-20,Oppenheimer,Michael Metz,25.0
1998-03-20,PaineWebber,Ed Kerschner,57.0
1998-03-20,Prudential,Greg Smith,65.0
1998-03-20,Salomon SB,Committee,50.0
1998-03-20,UBS,Gail Dudack,45.0
1998-03-20,Wheat First,Don Hays,53.0
1998-03-27,A.G. Edwards,Ray Worseck,60.0
1998-03-27,Bear Stearns,Liz Mackay,55.0
1998-03-27,CIBC,Michael Metz,25.0
1998-03-27,Credit Suisse,Christine Callies,60.0
1998-03-27,DLJ,Eric Miller,50.0
1998-03-27,Goldman Sachs,Abby Joseph Cohen,65.0
1998-03-27,JPMorgan,Douglas Cliggott,60.0
1998-03-27,Lehman,Jeffrey Applegate,75.0
1998-03-27,Merrill Lynch,Charles Clough,40.0
1998-03-27,Morgan Stanley,Peter Canelo,75.0
1998-03-27,PaineWebber,Ed Kerschner,56.0
1998-03-27,Prudential,Greg Smith,65.0
1998-03-27,Salomon SB,Committee,50.0
1998-03-27,UBS,Gail Dudack,45.0
1998-03-27,Wheat First,Don Hays,53.0
1998-03-30,A.G. Edwards,Ray Worseck,60.0
1998-03-30,Bear Stearns,Liz Mackay,55.0
1998-03-30,CIBC,Michael Metz,25.0
1998-03-30,Credit Suisse,Christine Callies,60.0
1998-03-30,DLJ,Thomas Galvin,65.0
1998-03-30,Goldman Sachs,Abby Joseph Cohen,65.0
1998-03-30,JPMorgan,Douglas Cliggott,60.0
1998-03-30,Lehman,Jeffrey Applegate,75.0
1998-03-30,Merrill Lynch,Charles Clough,40.0
1998-03-30,Morgan Stanley,Peter Canelo,75.0
1998-03-30,PaineWebber,Ed Kerschner,56.0
1998-03-30,Prudential,Greg Smith,65.0
1998-03-30,Salomon SB,Committee,50.0
1998-03-30,UBS,Gail Dudack,45.0
1998-03-30,Wheat First,Don Hays,53.0
1998-04-09,A.G. Edwards,Ray Worseck,60.0
1998-04-09,Bear Stearns,Liz Mackay,55.0
1998-04-09,CIBC,Michael Metz,25.0
1998-04-09,Credit Suisse,Christine Callies,60.0
1998-04-09,DLJ,Thomas Galvin,65.0
1998-04-09,Goldman Sachs,Abby Joseph Cohen,65.0
1998-04-09,JPMorgan,Douglas Cliggott,60.0
1998-04-09,Lehman,Jeffrey Applegate,75.0
