Date,Firm,Strategist,Stock Allocation %
1998-10-02,A.G. Edwards,Ray Worseck,60.0
1998-10-02,Bear Stearns,Liz Mackay,60.0
1998-10-02,Credit Suisse,Christine Callies,60.0
1998-10-02,DLJ,Thomas Galvin,75.0
1998-10-02,Goldman Sachs,Abby Joseph Cohen,72.0
1998-10-02,JPMorgan,Douglas Cliggott,60.0
1998-10-02,Lehman,Jeffrey Applegate,80.0
1998-10-02,Merrill Lynch,Charles Clough,40.0
1998-10-02,Morgan Stanley,Peter Canelo,70.0
1998-10-02,PaineWebber,Ed Kerschner,73.0
1998-10-02,Prudential,Greg Smith,60.0
1998-10-02,Salomon SB,Committee,55.0
1998-10-02,UBS,Gail Dudack,45.0
1998-10-02,Wheat First,Don Hays,70.0
1998-10-09,A.G. Edwards,Ray Worseck,60.0
1998-10-09,Bear Stearns,Liz Mackay,60.0
1998-10-09,Credit Suisse,Christine Callies,60.0
1998-10-09,DLJ,Thomas Galvin,75.0
1998-10-09,Goldman Sachs,Abby Joseph Cohen,72.0
1998-10-09,JPMorgan,Douglas Cliggott,60.0
1998-10-09,Lehman,Jeffrey Applegate,80.0
1998-10-09,Merrill Lynch,Charles Clough,40.0
1998-10-09,Morgan Stanley,Peter Canelo,70.0
1998-10-09,PaineWebber,Ed Kerschner,75.0
1998-10-09,Prudential,Greg Smith,55.0
1998-10-09,Salomon SB,Committee,55.0
1998-10-09,UBS,Gail Dudack,45.0
1998-10-09,Wheat First,Don Hays,70.0
1998-10-16,A.G. Edwards,Ray Worseck,65.0
1998-10-16,Bear Stearns,Liz Mackay,60.0
1998-10-16,Credit Suisse,Christine Callies,60.0
1998-10-16,DLJ,Thomas Galvin,75.0
1998-10-16,Goldman Sachs,Abby Joseph Cohen,72.0
1998-10-16,JPMorgan,Douglas Cliggott,60.0
1998-10-16,Lehman,Jeffrey Applegate,80.0
1998-10-16,Merrill Lynch,Charles Clough,40.0
1998-10-16,Morgan Stanley,Peter Canelo,70.0
1998-10-16,PaineWebber,Ed Kerschner,70.0
1998-10-16,Prudential,Greg Smith,55.0
1998-10-16,Salomon SB,Committee,55.0
1998-10-16,UBS,Gail Dudack,45.0
1998-10-16,Wheat First,Don Hays,70.0
1998-10-26,A.G. Edwards,Ray Worseck,65.0
1998-10-26,Bear Stearns,Liz Mackay,60.0
1998-10-26,Credit Suisse,Christine Callies,60.0
1998-10-26,DLJ,Thomas Galvin,75.0
1998-10-26,Goldman Sachs,Abby Joseph Cohen,72.0
1998-10-26,JPMorgan,Douglas Cliggott,60.0
1998-10-26,Lehman,Jeffrey Applegate,80.0
1998-10-26,Merrill Lynch,Charles Clough,40.0
1998-10-26,Morgan Stanley,Peter Canelo,70.0
1998-10-26,PaineWebber,Ed Kerschner,71.0
1998-10-26,Prudential,Greg Smith,60.0
1998-10-26,Salomon SB,Committee,55.0
1998-10-26,UBS,Gail Dudack,45.0
1998-10-26,Wheat First,Don Hays,70.0
1998-10-30,A.G. Edwards,Ray Worseck,65.0
1998-10-30,Bear Stearns,Liz Mackay,60.0
1998-10-30,Credit Suisse,Christine Callies,60.0
1998-10-30,DLJ,Thomas Galvin,75.0
1998-10-30,Goldman Sachs,Abby Joseph Cohen,72.0
1998-10-30,JPMorgan,Douglas Cliggott,60.0
1998-10-30,Lehman,Jeffrey Applegate,80.0
1998-10-30,Merrill Lynch,Charles Clough,40.0
1998-10-30,Morgan Stanley,Peter Canelo,70.0
1998-10-30,PaineWebber,Ed Kerschner,68.0
1998-10-30,Prudential,Greg Smith,70.0
1998-10-30,Salomon SB,Committee,55.0
1998-10-30,UBS,Gail Dudack,45.0
1998-10-30,Wheat First,Don Hays,70.0
1998-11-06,A.G. Edwards,Ray Worseck,65.0
1998-11-06,Bear Stearns,Liz Mackay,60.0
1998-11-06,Credit Suisse,Christine Callies,60.0
1998-11-06,DLJ,Thomas Galvin,75.0
1998-11-06,Goldman Sachs,Abby Joseph Cohen,72.0
1998-11-06,JPMorgan,Douglas Cliggott,60.0
1998-11-06,Lehman,Jeffrey Applegate,80.0
1998-11-06,Merrill Lynch,Charles Clough,40.0
1998-11-06,Morgan Stanley,Peter Canelo,70.0
1998-11-06,PaineWebber,Ed Kerschner,63.0
1998-11-06,Prudential,Greg Smith,70.0
1998-11-06,Salomon SB,Committee,55.0
1998-11-06,UBS,Gail Dudack,45.0
1998-11-06,Wheat First,Don Hays,70.0
1998-11-13,A.G. Edwards,Ray Worseck,65.0
1998-11-13,Bear Stearns,Liz Mackay,60.0
1998-11-13,Credit Suisse,Christine Callies,60.0
1998-11-13,DLJ,Thomas Galvin,75.0
1998-11-13,Goldman Sachs,Abby Joseph Cohen,72.0
1998-11-13,JPMorgan,Douglas Cliggott,60.0
1998-11-13,Lehman,Jeffrey Applegate,80.0
1998-11-13,Merrill Lynch,Charles Clough,40.0
1998-11-13,Morgan Stanley,Peter Canelo,70.0
1998-11-13,PaineWebber,Ed Kerschner,64.0
1998-11-13,Prudential,Greg Smith,70.0
1998-11-13,Salomon SB,Committee,55.0
1998-11-13,UBS,Gail Dudack,45.0
1998-11-13,Wheat First,Don Hays,70.0
1998-11-20,A.G. Edwards,Ray Worseck,65.0
1998-11-20,Bear Stearns,Liz Mackay,60.0
1998-11-20,Credit Suisse,Christine Callies,60.0
1998-11-20,DLJ,Thomas Galvin,75.0
1998-11-20,Goldman Sachs,Abby Joseph Cohen,72.0
1998-11-20,JPMorgan,Douglas Cliggott,60.0
1998-11-20,Lehman,Jeffrey Applegate,80.0
1998-11-20,Merrill Lynch,Charles Clough,40.0
1998-11-20,Morgan Stanley,Peter Canelo,70.0
1998-11-20,PaineWebber,Ed Kerschner,63.0
1998-11-20,Prudential,Greg Smith,70.0
1998-11-20,Salomon SB,Committee,55.0
1998-11-20,UBS,Gail Dudack,45.0
1998-11-20,Wheat First,Don Hays,70.0
1998-11-27,A.G. Edwards,Ray Worseck,65.0
1998-11-27,Bear Stearns,Liz Mackay,60.0
1998-11-27,Credit Suisse,Christine Callies,60.0
1998-11-27,DLJ,Thomas Galvin,75.0
1998-11-27,Goldman Sachs,Abby Joseph Cohen,72.0
1998-11-27,JPMorgan,Douglas Cliggott,60.0
1998-11-27,Lehman,Jeffrey Applegate,80.0
1998-11-27,Merrill Lynch,Charles Clough,40.0
1998-11-27,Morgan Stanley,Peter Canelo,70.0
1998-11-27,PaineWebber,Ed Kerschner,62.0
1998-11-27,Prudential,Greg Smith,70.0
1998-11-27,Salomon SB,Committee,55.0
1998-11-27,UBS,Gail Dudack,45.0
1998-11-27,Wheat First,Don Hays,70.0
1998-12-04,A.G. Edwards,Ray Worseck,65.0
1998-12-04,Bear Stearns,Liz Mackay,60.0
1998-12-04,Credit Suisse,Christine Callies,60.0
1998-12-04,DLJ,Thomas Galvin,75.0
1998-12-04,Goldman Sachs,Abby Joseph Cohen,72.0
1998-12-04,JPMorgan,Douglas Cliggott,60.0
1998-12-04,Lehman,Jeffrey Applegate,80.0
1998-12-04,Merrill Lynch,Charles Clough,40.0
1998-12-04,Morgan Stanley,Peter Canelo,70.0
1998-12-04,PaineWebber,Ed Kerschner,65.0
1998-12-04,Prudential,Greg Smith,70.0
1998-12-04,Salomon SB,Committee,55.0
1998-12-04,UBS,Gail Dudack,45.0
1998-12-04,Wheat First,Don Hays,70.0
1998-12-11,A.G. Edwards,Ray Worseck,70.0
1998-12-11,Bear Stearns,Liz Mackay,60.0
1998-12-11,Credit Suisse,Christine Callies,60.0
1998-12-11,DLJ,Thomas Galvin,75.0
1998-12-11,Goldman Sachs,Abby Joseph Cohen,72.0
1998-12-11,JPMorgan,Douglas Cliggott,60.0
1998-12-11,Lehman,Jeffrey Applegate,80.0
1998-12-11,Merrill Lynch,Charles Clough,40.0
1998-12-11,Morgan Stanley,Peter Canelo,70.0
1998-12-11,Prudential,Greg Smith,70.0
1998-12-11,Salomon SB,Committee,55.0
1998-12-11,UBS,Gail Dudack,45.0
1998-12-11,Wheat First,Don Hays,70.0
1998-12-18,A.G. Edwards,Ray Worseck,70.0
1998-12-18,Bear Stearns,Liz Mackay,60.0
1998-12-18,Credit Suisse,Christine Callies,60.0
1998-12-18,DLJ,Thomas Galvin,75.0
1998-12-18,Goldman Sachs,Abby Joseph Cohen,72.0
1998-12-18,JPMorgan,Douglas Cliggott,60.0
1998-12-18,Lehman,Jeffrey Applegate,80.0
1998-12-18,Merrill Lynch,Charles Clough,40.0
1998-12-18,Morgan Stanley,Peter Canelo,70.0
1998-12-18,PaineWebber,Ed Kerschner,64.0
1998-12-18,Prudential,Greg Smith,70.0
1998-12-18,Salomon SB,Committee,55.0
1998-12-18,UBS,Gail Dudack,45.0
1998-12-18,Wheat First,Don Hays,70.0
