Author,Date,Firm,Strategist,Stock Allocation %,2006 Close,2007 Close
Muhammad Younis,2006-01-03,Bank of America,Thomas McManus,55.0,1335.0,
Muhammad Younis,2006-01-03,Bear Stearns,Francois Trahan,50.0,1350.0,
Muhammad Younis,2006-01-03,CIBC,Subodh Kumar,69.0,1300.0,
Muhammad Younis,2006-01-03,Citigroup,Committee,60.0,1400.0,
Muhammad Younis,2006-01-03,Deutsche Bank,James Barty,65.0,1360.0,
Muhammad Younis,2006-01-03,Goldman Sachs,Abby Cohen,75.0,1400.0,
Muhammad Younis,2006-01-03,ISI Group,Jason Trennert,75.0,1400.0,
Muhammad Younis,2006-01-03,JPMorgan,A. Chakrabortti,55.0,1125.0,
Muhammad Younis,2006-01-03,Lehman,Henry Dickson,65.0,1400.0,
Muhammad Younis,2006-01-03,Merrill Lynch,R. Bernstein,40.0,1225.0,
Muhammad Younis,2006-01-03,Morgan Stanley,Henry McVey,65.0,1400.0,
Muhammad Younis,2006-01-03,Prudential,Edward Keon,100.0,1530.0,
Muhammad Younis,2006-01-03,UBS,,52.5,1250.0,
Muhammad Younis,2006-01-03,Wachovia,Rod Smyth,72.0,1290.0,
Rodney Yap,2006-01-09,Bank of America,Thomas McManus,55.0,1335.0,
Rodney Yap,2006-01-09,Bear Stearns,Francois Trahan,50.0,1350.0,
Rodney Yap,2006-01-09,CIBC,Subodh Kumar,69.0,1300.0,
Rodney Yap,2006-01-09,Citigroup,Committee,60.0,1400.0,
Rodney Yap,2006-01-09,Deutsche Bank,James Barty,65.0,1360.0,
Rodney Yap,2006-01-09,Goldman Sachs,Abby Cohen,75.0,1400.0,
Rodney Yap,2006-01-09,ISI Group,Jason Trennert,75.0,1400.0,
Rodney Yap,2006-01-09,JPMorgan,A. Chakrabortti,55.0,1125.0,
Rodney Yap,2006-01-09,Lehman,Henry Dickson,65.0,1400.0,
Rodney Yap,2006-01-09,Merrill Lynch,R. Bernstein,40.0,1260.0,
Rodney Yap,2006-01-09,Morgan Stanley,Henry McVey,65.0,1400.0,
Rodney Yap,2006-01-09,Prudential,Edward Keon,100.0,1530.0,
Rodney Yap,2006-01-09,UBS,,52.5,1250.0,
Rodney Yap,2006-01-09,Wachovia,Rod Smyth,72.0,1350.0,
Muhammad Younis,2006-01-17,Bank of America,Thomas McManus,55.0,1335.0,
Muhammad Younis,2006-01-17,Bear Stearns,Francois Trahan,50.0,1350.0,
Muhammad Younis,2006-01-17,CIBC,Subodh Kumar,69.0,1300.0,
Muhammad Younis,2006-01-17,Citigroup,Committee,60.0,1400.0,
Muhammad Younis,2006-01-17,Deutsche Bank,James Barty,65.0,1360.0,
Muhammad Younis,2006-01-17,Goldman Sachs,Abby Cohen,75.0,1400.0,
Muhammad Younis,2006-01-17,ISI Group,Jason Trennert,75.0,1400.0,
Muhammad Younis,2006-01-17,JPMorgan,A. Chakrabortti,55.0,1125.0,
Muhammad Younis,2006-01-17,Lehman,Henry Dickson,65.0,1400.0,
Muhammad Younis,2006-01-17,Merrill Lynch,R. Bernstein,40.0,1260.0,
Muhammad Younis,2006-01-17,Morgan Stanley,Henry McVey,65.0,1400.0,
Muhammad Younis,2006-01-17,Prudential,Edward Keon,100.0,1530.0,
Muhammad Younis,2006-01-17,UBS,,52.5,1400.0,
Muhammad Younis,2006-01-17,Wachovia,Rod Smyth,72.0,1350.0,
Muhammad Younis,2006-01-23,Bank of America,Thomas McManus,55.0,1335.0,
Muhammad Younis,2006-01-23,Bear Stearns,Francois Trahan,50.0,1350.0,
Muhammad Younis,2006-01-23,CIBC,Subodh Kumar,69.0,1300.0,
Muhammad Younis,2006-01-23,Citigroup,Committee,60.0,1400.0,
Muhammad Younis,2006-01-23,Deutsche Bank,James Barty,65.0,1360.0,
Muhammad Younis,2006-01-23,Goldman Sachs,Abby Cohen,75.0,1400.0,
Muhammad Younis,2006-01-23,ISI Group,Jason Trennert,75.0,1400.0,
Muhammad Younis,2006-01-23,JPMorgan,A. Chakrabortti,55.0,1125.0,
Muhammad Younis,2006-01-23,Lehman,Henry Dickson,65.0,1400.0,
Muhammad Younis,2006-01-23,Merrill Lynch,R. Bernstein,40.0,1260.0,
Muhammad Younis,2006-01-23,Morgan Stanley,Henry McVey,65.0,1400.0,
Muhammad Younis,2006-01-23,Prudential,Edward Keon,100.0,1530.0,
Muhammad Younis,2006-01-23,UBS,,52.5,1400.0,
Muhammad Younis,2006-01-23,Wachovia,Rod Smyth,72.0,1350.0,
Muhammad Younis,2006-01-30,Bank of America,Thomas McManus,55.0,1335.0,
Muhammad Younis,2006-01-30,Bear Stearns,Francois Trahan,50.0,1350.0,
Muhammad Younis,2006-01-30,CIBC,Subodh Kumar,69.0,1300.0,
Muhammad Younis,2006-01-30,Citigroup,Committee,60.0,1400.0,
Muhammad Younis,2006-01-30,Deutsche Bank,James Barty,65.0,1360.0,
Muhammad Younis,2006-01-30,Goldman Sachs,Abby Cohen,75.0,1400.0,
