Author,Date,Firm,Stock Allocation %
Inyoung Hwang,2012-02-27,Oppenheimer,65.0
Inyoung Hwang,2012-02-27,UBS,50.0
Inyoung Hwang,2012-03-07,BMO,62.0
Inyoung Hwang,2012-03-07,Bank of America,48.0
Inyoung Hwang,2012-03-07,Deutsche Bank,
Inyoung Hwang,2012-03-07,JPMorgan,60.0
Inyoung Hwang,2012-03-07,Oppenheimer,
Inyoung Hwang,2012-03-07,UBS,50.0
Inyoung Hwang,2012-03-20,BMO,63.0
Inyoung Hwang,2012-03-20,Bank of America,48.0
Inyoung Hwang,2012-03-20,Deutsche Bank,
Inyoung Hwang,2012-03-20,JPMorgan,60.0
Inyoung Hwang,2012-03-20,Oppenheimer,
Inyoung Hwang,2012-03-20,UBS,50.0
Inyoung Hwang,2012-04-02,BMO,63.0
Inyoung Hwang,2012-04-02,Bank of America,48.0
Inyoung Hwang,2012-04-02,Deutsche Bank,
Inyoung Hwang,2012-04-02,JPMorgan,60.0
Inyoung Hwang,2012-04-02,Oppenheimer,
Inyoung Hwang,2012-04-02,UBS,50.0
Inyoung Hwang,2012-04-10,BMO,63.0
Inyoung Hwang,2012-04-10,Bank of America,48.0
Inyoung Hwang,2012-04-10,Deutsche Bank,
Inyoung Hwang,2012-04-10,JPMorgan,60.0
Inyoung Hwang,2012-04-10,Oppenheimer,
Inyoung Hwang,2012-04-10,UBS,50.0
Inyoung Hwang,2012-04-16,BMO,63.0
Inyoung Hwang,2012-04-16,Bank of America,48.0
Inyoung Hwang,2012-04-16,Deutsche Bank,
Inyoung Hwang,2012-04-16,JPMorgan,60.0
Inyoung Hwang,2012-04-16,Oppenheimer,
Inyoung Hwang,2012-04-16,UBS,48.0
Inyoung Hwang,2012-04-24,BMO,
Inyoung Hwang,2012-04-24,Bank of America,48.0
Inyoung Hwang,2012-04-24,Deutsche Bank,
Inyoung Hwang,2012-04-24,JPMorgan,60.0
Inyoung Hwang,2012-04-24,Oppenheimer,
Inyoung Hwang,2012-04-24,UBS,48.0
Inyoung Hwang,2012-04-30,BMO,
Inyoung Hwang,2012-04-30,Bank of America,48.0
Inyoung Hwang,2012-04-30,Deutsche Bank,
Inyoung Hwang,2012-04-30,JPMorgan,60.0
Inyoung Hwang,2012-04-30,Oppenheimer,
Inyoung Hwang,2012-04-30,UBS,48.0
Inyoung Hwang,2012-05-15,BMO,
Inyoung Hwang,2012-05-15,Bank of America,48.0
Inyoung Hwang,2012-05-15,Deutsche Bank,
Inyoung Hwang,2012-05-15,JPMorgan,60.0
Inyoung Hwang,2012-05-15,Oppenheimer,
Inyoung Hwang,2012-05-15,UBS,45.0
Inyoung Hwang,2012-05-21,BMO,
Inyoung Hwang,2012-05-21,Bank of America,48.0
Inyoung Hwang,2012-05-21,Deutsche Bank,
Inyoung Hwang,2012-05-21,JPMorgan,60.0
Inyoung Hwang,2012-05-21,Oppenheimer,
Inyoung Hwang,2012-05-21,UBS,45.0
Inyoung Hwang,2012-05-30,BMO,
Inyoung Hwang,2012-05-30,Bank of America,48.0
Inyoung Hwang,2012-05-30,Deutsche Bank,
Inyoung Hwang,2012-05-30,JPMorgan,60.0
Inyoung Hwang,2012-05-30,Oppenheimer,
Inyoung Hwang,2012-05-30,UBS,45.0
Inyoung Hwang,2012-06-12,BMO,
Inyoung Hwang,2012-06-12,Bank of America,48.0
Inyoung Hwang,2012-06-12,Deutsche Bank,
Inyoung Hwang,2012-06-12,JPMorgan,60.0
Inyoung Hwang,2012-06-12,Oppenheimer,
Inyoung Hwang,2012-06-12,UBS,45.0
Inyoung Hwang,2012-06-19,BMO,
Inyoung Hwang,2012-06-19,Bank of America,48.0
Inyoung Hwang,2012-06-19,Deutsche Bank,
Inyoung Hwang,2012-06-19,JPMorgan,60.0
Inyoung Hwang,2012-06-19,Oppenheimer,
Inyoung Hwang,2012-06-19,UBS,45.0
Inyoung Hwang,2012-06-27,BMO,
Inyoung Hwang,2012-06-27,Bank of America,48.0
Inyoung Hwang,2012-06-27,Deutsche Bank,
Inyoung Hwang,2012-06-27,JPMorgan,60.0
Inyoung Hwang,2012-06-27,Oppenheimer,
Inyoung Hwang,2012-06-27,UBS,45.0
Inyoung Hwang,2012-07-02,BMO,
Inyoung Hwang,2012-07-02,Bank of America,48.0
Inyoung Hwang,2012-07-02,HSBC,11.0
Inyoung Hwang,2012-07-02,JPMorgan,60.0
Inyoung Hwang,2012-07-02,Oppenheimer,
Inyoung Hwang,2012-07-02,UBS,45.0
Inyoung Hwang,2012-07-24,BMO,
Inyoung Hwang,2012-07-24,Bank of America,48.0
Inyoung Hwang,2012-07-24,HSBC,11.0
Inyoung Hwang,2012-07-24,JPMorgan,60.0
Inyoung Hwang,2012-07-24,Oppenheimer,
Inyoung Hwang,2012-07-24,UBS,45.0
Inyoung Hwang,2012-08-07,BMO,
Inyoung Hwang,2012-08-07,Bank of America,48.0
Inyoung Hwang,2012-08-07,HSBC,11.0
Inyoung Hwang,2012-08-07,JPMorgan,60.0
Inyoung Hwang,2012-08-07,Oppenheimer,
Inyoung Hwang,2012-08-07,UBS,45.0
Inyoung Hwang,2012-08-14,BMO,
Inyoung Hwang,2012-08-14,Bank of America,48.0
Inyoung Hwang,2012-08-14,HSBC,11.0
Inyoung Hwang,2012-08-14,JPMorgan,60.0
Inyoung Hwang,2012-08-14,Oppenheimer,
Inyoung Hwang,2012-08-14,UBS,45.0
Inyoung Hwang,2012-08-21,BMO,
Inyoung Hwang,2012-08-21,Bank of America,50.0
Inyoung Hwang,2012-08-21,HSBC,11.0
Inyoung Hwang,2012-08-21,JPMorgan,60.0
Inyoung Hwang,2012-08-21,Oppenheimer,
Inyoung Hwang,2012-08-21,UBS,45.0
Inyoung Hwang,2012-08-28,BMO,
Inyoung Hwang,2012-08-28,Bank of America,50.0
Inyoung Hwang,2012-08-28,HSBC,11.0
Inyoung Hwang,2012-08-28,JPMorgan,60.0
Inyoung Hwang,2012-08-28,Oppenheimer,
Inyoung Hwang,2012-08-28,UBS,45.0
Inyoung Hwang,2012-09-04,BMO,
Inyoung Hwang,2012-09-04,Bank of America,50.0
Inyoung Hwang,2012-09-04,HSBC,11.0
Inyoung Hwang,2012-09-04,JPMorgan,60.0
Inyoung Hwang,2012-09-04,Oppenheimer,
Inyoung Hwang,2012-09-04,UBS,45.0
Inyoung Hwang,2012-09-10,BMO,
Inyoung Hwang,2012-09-10,Bank of America,50.0
Inyoung Hwang,2012-09-10,HSBC,11.0
Inyoung Hwang,2012-09-10,JPMorgan,60.0
Inyoung Hwang,2012-09-10,Oppenheimer,
Inyoung Hwang,2012-09-10,UBS,45.0
Inyoung Hwang,2012-09-17,BMO,
Inyoung Hwang,2012-09-17,Bank of America,50.0
Inyoung Hwang,2012-09-17,HSBC,11.0
Inyoung Hwang,2012-09-17,JPMorgan,60.0
Inyoung Hwang,2012-09-17,Oppenheimer,
Inyoung Hwang,2012-09-17,UBS,45.0
Inyoung Hwang,2012-09-25,BMO,
Inyoung Hwang,2012-09-25,Bank of America,50.0
Inyoung Hwang,2012-09-25,HSBC,11.0
Inyoung Hwang,2012-09-25,JPMorgan,60.0
Inyoung Hwang,2012-09-25,Oppenheimer,
Inyoung Hwang,2012-09-25,UBS,45.0
Lu Wang,2012-10-02,Bank of America,50.0
Lu Wang,2012-10-02,HSBC,16.0
Lu Wang,2012-10-02,JPMorgan,60.0
Lu Wang,2012-10-02,UBS,45.0
Lu Wang,2012-10-10,Bank of America,50.0
Lu Wang,2012-10-10,HSBC,16.0
Lu Wang,2012-10-10,JPMorgan,60.0
Lu Wang,2012-10-10,UBS,45.0
Inyoung Hwang,2012-10-23,Bank of America,50.0
Inyoung Hwang,2012-10-23,HSBC,16.0
Inyoung Hwang,2012-10-23,JPMorgan,60.0
Inyoung Hwang,2012-10-23,UBS,45.0
Inyoung Hwang,2012-11-01,Bank of America,50.0
Inyoung Hwang,2012-11-01,HSBC,16.0
Inyoung Hwang,2012-11-01,JPMorgan,60.0
Inyoung Hwang,2012-11-01,UBS,45.0
Inyoung Hwang,2012-11-06,Bank of America,50.0
Inyoung Hwang,2012-11-06,HSBC,21.0
Inyoung Hwang,2012-11-06,JPMorgan,60.0
Inyoung Hwang,2012-11-06,UBS,47.8
Inyoung Hwang,2012-11-14,Bank of America,50.0
Inyoung Hwang,2012-11-14,HSBC,21.0
Inyoung Hwang,2012-11-14,JPMorgan,60.0
Inyoung Hwang,2012-11-14,UBS,47.8
Inyoung Hwang,2012-11-21,Bank of America,50.0
Inyoung Hwang,2012-11-21,HSBC,21.0
Inyoung Hwang,2012-11-21,JPMorgan,60.0
Inyoung Hwang,2012-11-21,UBS,47.8
Inyoung Hwang,2012-11-26,Bank of America,50.0
Inyoung Hwang,2012-11-26,HSBC,21.0
Inyoung Hwang,2012-11-26,JPMorgan,60.0
Inyoung Hwang,2012-11-26,UBS,47.8
Inyoung Hwang,2012-12-06,Bank of America,50.0
Inyoung Hwang,2012-12-06,HSBC,21.0
Inyoung Hwang,2012-12-06,JPMorgan,60.0
Inyoung Hwang,2012-12-06,UBS,47.8
Inyoung Hwang,2012-12-13,Bank of America,50.0
Inyoung Hwang,2012-12-13,HSBC,21.0
Inyoung Hwang,2012-12-13,JPMorgan,60.0
Inyoung Hwang,2012-12-13,UBS,47.8
Inyoung Hwang,2012-12-26,Bank of America,
Inyoung Hwang,2012-12-26,HSBC,21.0
Inyoung Hwang,2012-12-26,JPMorgan,60.0
Inyoung Hwang,2012-12-26,UBS,47.8
