Author,Date,Firm,Stock Allocation %
Nick Taborek,2014-01-07,Bank of America,68.0
Nick Taborek,2014-01-07,HSBC,22.0
Nick Taborek,2014-01-07,JPMorgan,60.0
Nick Taborek,2014-01-07,Oppenheimer,55.0
Nick Taborek,2014-01-07,UBS,47.6
Nick Taborek,2014-01-22,Bank of America,68.0
Nick Taborek,2014-01-22,HSBC,35.0
Nick Taborek,2014-01-22,JPMorgan,60.0
Nick Taborek,2014-01-22,Oppenheimer,60.0
Nick Taborek,2014-01-22,UBS,47.6
Nick Taborek,2014-01-30,Bank of America,68.0
Nick Taborek,2014-01-30,HSBC,35.0
Nick Taborek,2014-01-30,JPMorgan,60.0
Nick Taborek,2014-01-30,Oppenheimer,60.0
Nick Taborek,2014-01-30,UBS,47.6
Nick Taborek,2014-02-13,Bank of America,68.0
Nick Taborek,2014-02-13,HSBC,35.0
Nick Taborek,2014-02-13,JPMorgan,60.0
Nick Taborek,2014-02-13,Oppenheimer,60.0
Nick Taborek,2014-02-13,UBS,47.6
Nick Taborek,2014-02-20,Bank of America,68.0
Nick Taborek,2014-02-20,HSBC,35.0
Nick Taborek,2014-02-20,JPMorgan,60.0
Nick Taborek,2014-02-20,Oppenheimer,60.0
Nick Taborek,2014-02-20,UBS,47.6
Nick Taborek,2014-02-28,Bank of America,68.0
Nick Taborek,2014-02-28,HSBC,35.0
Nick Taborek,2014-02-28,JPMorgan,60.0
Nick Taborek,2014-02-28,Oppenheimer,60.0
Nick Taborek,2014-02-28,UBS,47.6
Nick Taborek,2014-03-07,Bank of America,68.0
Nick Taborek,2014-03-07,HSBC,35.0
Nick Taborek,2014-03-07,JPMorgan,60.0
Nick Taborek,2014-03-07,Oppenheimer,60.0
Nick Taborek,2014-03-07,UBS,47.6
Lu Wang,2014-03-20,Bank of America,68.0
Lu Wang,2014-03-20,HSBC,35.0
Lu Wang,2014-03-20,JPMorgan,
Lu Wang,2014-03-20,Oppenheimer,60.0
Lu Wang,2014-03-20,UBS,47.6
Callie Bost,2014-04-01,Bank of America,68.0
Callie Bost,2014-04-01,HSBC,35.0
Callie Bost,2014-04-01,JPMorgan,
Callie Bost,2014-04-01,Oppenheimer,60.0
Callie Bost,2014-04-01,UBS,47.6
Callie Bost,2014-04-30,Bank of America,68.0
Callie Bost,2014-04-30,HSBC,32.0
Callie Bost,2014-04-30,Oppenheimer,60.0
Callie Bost,2014-04-30,UBS,45.0
Callie Bost,2014-05-29,Bank of America,68.0
Callie Bost,2014-05-29,HSBC,27.0
Callie Bost,2014-05-29,Oppenheimer,60.0
Callie Bost,2014-05-29,UBS,45.0
Callie Bost,2014-06-30,Bank of America,66.0
Callie Bost,2014-06-30,HSBC,24.0
Callie Bost,2014-06-30,Oppenheimer,60.0
Callie Bost,2014-06-30,UBS,50.5
Callie Bost,2014-07-29,Bank of America,66.0
Callie Bost,2014-07-29,HSBC,24.0
Callie Bost,2014-07-29,Oppenheimer,60.0
Callie Bost,2014-07-29,UBS,46.75
Callie Bost,2014-08-29,Bank of America,66.0
Callie Bost,2014-08-29,HSBC,24.0
Callie Bost,2014-08-29,Oppenheimer,60.0
Callie Bost,2014-08-29,UBS,46.75
Callie Bost,2014-09-30,Bank of America,66.0
Callie Bost,2014-09-30,HSBC,24.0
Callie Bost,2014-09-30,Oppenheimer,60.0
Callie Bost,2014-09-30,UBS,50.5
Oliver Renick,2014-10-31,Bank of America,66.0
Oliver Renick,2014-10-31,HSBC,28.0
Oliver Renick,2014-10-31,Oppenheimer,60.0
Oliver Renick,2014-10-31,UBS,50.5
Oliver Renick,2014-11-26,Bank of America,66.0
Oliver Renick,2014-11-26,HSBC,26.0
Oliver Renick,2014-11-26,Oppenheimer,60.0
Oliver Renick,2014-11-26,UBS,50.5
