Date,Firm,Strategist,Stock Allocation %,2001 Close
2001-01-08,Bank of America,Thomas McManus,60.0,1525.0
2001-01-08,Bear Stearns,Liz Mackay,65.0,1650.0
2001-01-08,CIBC,Subodh Kumar,55.0,1625.0
2001-01-08,CSFB,Thomas Galvin,90.0,1600.0
2001-01-08,First Union,Rod Smyth,70.0,
2001-01-08,Goldman Sachs,Abby Joseph Cohen,65.0,1650.0
2001-01-08,JPMorgan,Douglas Cliggott,60.0,1400.0
2001-01-08,Lehman,Jeffrey Applegate,80.0,1675.0
2001-01-08,Merrill Lynch,Christine Callies,65.0,1625.0
2001-01-08,Morgan Stanley,Peter Canelo,80.0,1600.0
2001-01-08,Prudential,Greg Smith,70.0,
2001-01-08,Salomon SB,Committee,65.0,1450.0
2001-01-08,UBS,Ed Kerschner,60.0,1715.0
2001-01-12,Bank of America,Thomas McManus,60.0,1525.0
2001-01-12,Bear Stearns,Liz Mackay,65.0,1650.0
2001-01-12,CIBC,Subodh Kumar,55.0,1625.0
2001-01-12,CSFB,Thomas Galvin,90.0,1600.0
2001-01-12,Deutsche Bank,Ed Yardeni,80.0,1474.0
2001-01-12,First Union,Rod Smyth,70.0,1550.0
2001-01-12,Goldman Sachs,Abby Joseph Cohen,65.0,1650.0
2001-01-12,JPMorgan,Douglas Cliggott,60.0,1400.0
2001-01-12,Lehman,Jeffrey Applegate,80.0,1675.0
2001-01-12,Merrill Lynch,Christine Callies,65.0,1625.0
2001-01-12,Morgan Stanley,Peter Canelo,80.0,1600.0
2001-01-12,Prudential,Greg Smith,70.0,
2001-01-12,Salomon SB,Committee,65.0,1450.0
2001-01-12,UBS,Ed Kerschner,61.0,1715.0
2001-01-23,Bank of America,Thomas McManus,60.0,1525.0
2001-01-23,Bear Stearns,Liz Mackay,65.0,1650.0
2001-01-23,CIBC,Subodh Kumar,55.0,1625.0
2001-01-23,CSFB,Thomas Galvin,90.0,1600.0
2001-01-23,Deutsche Bank,Ed Yardeni,80.0,1474.0
2001-01-23,First Union,Rod Smyth,70.0,1550.0
2001-01-23,Goldman Sachs,Abby Joseph Cohen,65.0,1650.0
2001-01-23,JPMorgan,Douglas Cliggott,60.0,1400.0
2001-01-23,Lehman,Jeffrey Applegate,80.0,1675.0
2001-01-23,Merrill Lynch,Christine Callies,65.0,1625.0
2001-01-23,Morgan Stanley,Peter Canelo,80.0,1600.0
2001-01-23,Prudential,Greg Smith,70.0,
2001-01-23,Salomon SB,Committee,65.0,1450.0
2001-01-23,UBS,Ed Kerschner,61.0,1715.0
2001-02-02,Bank of America,Thomas McManus,60.0,1525.0
2001-02-02,Bear Stearns,Liz Mackay,65.0,1650.0
2001-02-02,CIBC,Subodh Kumar,55.0,1625.0
2001-02-02,CSFB,Thomas Galvin,90.0,1600.0
2001-02-02,Deutsche Bank,Ed Yardeni,80.0,1474.0
2001-02-02,First Union,Rod Smyth,70.0,1550.0
2001-02-02,Goldman Sachs,Abby Joseph Cohen,65.0,1650.0
2001-02-02,JPMorgan,Douglas Cliggott,60.0,1400.0
2001-02-02,Lehman,Jeffrey Applegate,80.0,1675.0
2001-02-02,Merrill Lynch,Christine Callies,65.0,1625.0
2001-02-02,Morgan Stanley,Peter Canelo,80.0,1600.0
2001-02-02,Prudential,Greg Smith,70.0,
2001-02-02,Salomon SB,Committee,65.0,1450.0
2001-02-02,UBS,Ed Kerschner,60.0,1715.0
2001-02-16,Bank of America,Thomas McManus,60.0,1525.0
2001-02-16,Bear Stearns,Liz Mackay,65.0,1650.0
2001-02-16,CIBC,Subodh Kumar,55.0,1625.0
2001-02-16,CSFB,Thomas Galvin,90.0,1600.0
