Author,Date,Firm,Stock Allocation %
Inyoung Hwang,2013-01-02,Bank of America,
Inyoung Hwang,2013-01-02,HSBC,21.0
Inyoung Hwang,2013-01-02,JPMorgan,60.0
Inyoung Hwang,2013-01-02,UBS,47.8
Inyoung Hwang,2013-01-15,Bank of America,
Inyoung Hwang,2013-01-15,HSBC,21.0
Inyoung Hwang,2013-01-15,JPMorgan,60.0
Inyoung Hwang,2013-01-15,UBS,48.3
Inyoung Hwang,2013-01-31,Bank of America,65.0
Inyoung Hwang,2013-01-31,HSBC,23.0
Inyoung Hwang,2013-01-31,JPMorgan,60.0
Inyoung Hwang,2013-01-31,Oppenheimer,55.0
Inyoung Hwang,2013-01-31,UBS,48.3
Inyoung Hwang,2013-01-31,Weeden,20.0
Inyoung Hwang,2013-02-05,Bank of America,65.0
Inyoung Hwang,2013-02-05,HSBC,23.0
Inyoung Hwang,2013-02-05,JPMorgan,60.0
Inyoung Hwang,2013-02-05,Oppenheimer,55.0
Inyoung Hwang,2013-02-05,UBS,48.3
Inyoung Hwang,2013-02-05,Weeden,20.0
Leslie Picker,2013-02-15,Bank of America,65.0
Leslie Picker,2013-02-15,HSBC,23.0
Leslie Picker,2013-02-15,JPMorgan,60.0
Leslie Picker,2013-02-15,Oppenheimer,55.0
Leslie Picker,2013-02-15,UBS,48.3
Leslie Picker,2013-02-15,Weeden,20.0
Leslie Picker,2013-02-22,Bank of America,65.0
Leslie Picker,2013-02-22,HSBC,23.0
Leslie Picker,2013-02-22,JPMorgan,60.0
Leslie Picker,2013-02-22,Oppenheimer,55.0
Leslie Picker,2013-02-22,UBS,48.3
Leslie Picker,2013-02-22,Weeden,20.0
Inyoung Hwang,2013-02-27,Bank of America,65.0
Inyoung Hwang,2013-02-27,HSBC,23.0
Inyoung Hwang,2013-02-27,JPMorgan,60.0
Inyoung Hwang,2013-02-27,Oppenheimer,55.0
Inyoung Hwang,2013-02-27,UBS,48.3
Inyoung Hwang,2013-02-27,Weeden,20.0
Inyoung Hwang,2013-03-27,Bank of America,65.0
Inyoung Hwang,2013-03-27,HSBC,27.0
Inyoung Hwang,2013-03-27,JPMorgan,60.0
Inyoung Hwang,2013-03-27,Oppenheimer,55.0
Inyoung Hwang,2013-03-27,UBS,47.6
Inyoung Hwang,2013-03-27,Weeden,20.0
Inyoung Hwang,2013-04-08,Bank of America,65.0
Inyoung Hwang,2013-04-08,HSBC,27.0
Inyoung Hwang,2013-04-08,JPMorgan,60.0
Inyoung Hwang,2013-04-08,Oppenheimer,55.0
Inyoung Hwang,2013-04-08,UBS,47.6
Inyoung Hwang,2013-04-08,Weeden,20.0
Inyoung Hwang,2013-04-29,Bank of America,65.0
Inyoung Hwang,2013-04-29,HSBC,18.0
Inyoung Hwang,2013-04-29,JPMorgan,60.0
Inyoung Hwang,2013-04-29,Oppenheimer,55.0
Inyoung Hwang,2013-04-29,UBS,48.1
Inyoung Hwang,2013-05-14,Bank of America,65.0
Inyoung Hwang,2013-05-14,HSBC,18.0
Inyoung Hwang,2013-05-14,JPMorgan,60.0
Inyoung Hwang,2013-05-14,Oppenheimer,55.0
Inyoung Hwang,2013-05-14,UBS,48.1
Inyoung Hwang,2013-05-21,Bank of America,65.0
Inyoung Hwang,2013-05-21,HSBC,18.0
Inyoung Hwang,2013-05-21,JPMorgan,60.0
Inyoung Hwang,2013-05-21,Oppenheimer,55.0
Inyoung Hwang,2013-05-21,UBS,48.1
Inyoung Hwang,2013-06-19,Bank of America,65.0
Inyoung Hwang,2013-06-19,HSBC,18.0
Inyoung Hwang,2013-06-19,JPMorgan,60.0
Inyoung Hwang,2013-06-19,Oppenheimer,55.0
Inyoung Hwang,2013-06-19,UBS,47.6
Inyoung Hwang,2013-06-25,Bank of America,65.0
Inyoung Hwang,2013-06-25,HSBC,20.0
Inyoung Hwang,2013-06-25,JPMorgan,60.0
Inyoung Hwang,2013-06-25,Oppenheimer,55.0
Inyoung Hwang,2013-06-25,UBS,47.6
Katie Brennan,2013-07-11,Bank of America,65.0
Katie Brennan,2013-07-11,HSBC,20.0
Katie Brennan,2013-07-11,JPMorgan,60.0
Katie Brennan,2013-07-11,Oppenheimer,55.0
Katie Brennan,2013-07-11,UBS,47.6
Katie Brennan,2013-07-19,Bank of America,68.0
Katie Brennan,2013-07-19,HSBC,20.0
Katie Brennan,2013-07-19,JPMorgan,60.0
Katie Brennan,2013-07-19,Oppenheimer,55.0
Katie Brennan,2013-07-19,UBS,47.6
Katie Brennan,2013-07-26,Bank of America,68.0
Katie Brennan,2013-07-26,HSBC,20.0
Katie Brennan,2013-07-26,JPMorgan,60.0
Katie Brennan,2013-07-26,Oppenheimer,55.0
Katie Brennan,2013-07-26,UBS,47.6
Katie Brennan,2013-08-12,Bank of America,68.0
Katie Brennan,2013-08-12,HSBC,24.0
Katie Brennan,2013-08-12,JPMorgan,60.0
Katie Brennan,2013-08-12,Oppenheimer,55.0
Katie Brennan,2013-08-12,UBS,47.6
Nick Taborek,2013-08-19,Bank of America,68.0
Nick Taborek,2013-08-19,HSBC,24.0
Nick Taborek,2013-08-19,JPMorgan,60.0
Nick Taborek,2013-08-19,Oppenheimer,55.0
Nick Taborek,2013-08-19,UBS,47.6
Nick Taborek,2013-08-28,Bank of America,68.0
Nick Taborek,2013-08-28,HSBC,24.0
Nick Taborek,2013-08-28,JPMorgan,60.0
Nick Taborek,2013-08-28,Oppenheimer,55.0
Nick Taborek,2013-08-28,UBS,47.6
Nick Taborek,2013-09-03,Bank of America,68.0
Nick Taborek,2013-09-03,HSBC,24.0
Nick Taborek,2013-09-03,JPMorgan,60.0
Nick Taborek,2013-09-03,Oppenheimer,55.0
Nick Taborek,2013-09-03,UBS,47.6
Nick Taborek,2013-09-11,Bank of America,68.0
Nick Taborek,2013-09-11,HSBC,24.0
Nick Taborek,2013-09-11,JPMorgan,60.0
Nick Taborek,2013-09-11,Oppenheimer,55.0
Nick Taborek,2013-09-11,UBS,47.6
Nick Taborek,2013-09-17,Bank of America,68.0
Nick Taborek,2013-09-17,HSBC,24.0
Nick Taborek,2013-09-17,JPMorgan,60.0
Nick Taborek,2013-09-17,Oppenheimer,55.0
Nick Taborek,2013-09-17,UBS,47.6
Nick Taborek,2013-09-24,Bank of America,68.0
Nick Taborek,2013-09-24,HSBC,24.0
Nick Taborek,2013-09-24,JPMorgan,60.0
Nick Taborek,2013-09-24,Oppenheimer,55.0
Nick Taborek,2013-09-24,UBS,47.6
Nick Taborek,2013-09-30,Bank of America,68.0
Nick Taborek,2013-09-30,HSBC,24.0
Nick Taborek,2013-09-30,JPMorgan,60.0
Nick Taborek,2013-09-30,Oppenheimer,55.0
Nick Taborek,2013-09-30,UBS,47.6
Nick Taborek,2013-10-10,Bank of America,68.0
Nick Taborek,2013-10-10,HSBC,24.0
Nick Taborek,2013-10-10,JPMorgan,60.0
Nick Taborek,2013-10-10,Oppenheimer,55.0
Nick Taborek,2013-10-10,UBS,47.6
Nick Taborek,2013-10-18,Bank of America,68.0
Nick Taborek,2013-10-18,HSBC,24.0
Nick Taborek,2013-10-18,JPMorgan,60.0
Nick Taborek,2013-10-18,Oppenheimer,55.0
Nick Taborek,2013-10-18,UBS,47.6
Nick Taborek,2013-10-23,Bank of America,68.0
Nick Taborek,2013-10-23,HSBC,22.0
Nick Taborek,2013-10-23,JPMorgan,60.0
Nick Taborek,2013-10-23,Oppenheimer,55.0
Nick Taborek,2013-10-23,UBS,47.6
Nick Taborek,2013-10-30,Bank of America,68.0
Nick Taborek,2013-10-30,HSBC,22.0
Nick Taborek,2013-10-30,JPMorgan,60.0
Nick Taborek,2013-10-30,Oppenheimer,55.0
Nick Taborek,2013-10-30,UBS,47.6
Nick Taborek,2013-11-06,Bank of America,68.0
Nick Taborek,2013-11-06,HSBC,22.0
Nick Taborek,2013-11-06,JPMorgan,60.0
Nick Taborek,2013-11-06,Oppenheimer,55.0
Nick Taborek,2013-11-06,UBS,47.6
Nick Taborek,2013-11-13,Bank of America,68.0
Nick Taborek,2013-11-13,HSBC,22.0
Nick Taborek,2013-11-13,JPMorgan,60.0
Nick Taborek,2013-11-13,Oppenheimer,55.0
Nick Taborek,2013-11-13,UBS,47.6
Nick Taborek,2013-11-18,Bank of America,68.0
Nick Taborek,2013-11-18,HSBC,22.0
Nick Taborek,2013-11-18,JPMorgan,60.0
Nick Taborek,2013-11-18,Oppenheimer,55.0
Nick Taborek,2013-11-18,UBS,47.6
Nick Taborek,2013-11-26,Bank of America,68.0
Nick Taborek,2013-11-26,HSBC,22.0
Nick Taborek,2013-11-26,JPMorgan,60.0
Nick Taborek,2013-11-26,Oppenheimer,55.0
Nick Taborek,2013-11-26,UBS,47.6
