Author,Date,Firm,Strategist,Stock Allocation %,2008 Close,2009 Close
Phillip Cruz,2008-01-02,Bank of America,Thomas McManus,60.0,1625.0,
Phillip Cruz,2008-01-02,Bear Stearns,Jonathan Golub,70.0,1700.0,
Phillip Cruz,2008-01-02,Citigroup,Committee,60.0,1675.0,
Phillip Cruz,2008-01-02,Credit Suisse,,64.0,1650.0,
Phillip Cruz,2008-01-02,Deutsche Bank,Binky Chadha,60.0,1650.0,
Phillip Cruz,2008-01-02,Goldman Sachs,Abby Cohen,75.0,1675.0,
Phillip Cruz,2008-01-02,HSBC,Kevin Gardiner,56.2,1700.0,
Phillip Cruz,2008-01-02,JPMorgan,Adam Morris,60.0,1590.0,
Phillip Cruz,2008-01-02,Lehman,Ian Scott,72.0,1630.0,
Phillip Cruz,2008-01-02,Merrill Lynch,R. Bernstein,50.0,1525.0,
Phillip Cruz,2008-01-02,Morgan Stanley,A. Chakrabortti,46.0,1525.0,
Phillip Cruz,2008-01-02,Strategas,Jason Trennert,75.0,1640.0,
Phillip Cruz,2008-01-02,UBS,,51.0,1700.0,
Phillip Cruz,2008-01-02,Wachovia,Rod Smyth,63.0,1590.0,
Phillip Cruz,2008-01-28,Bank of America,Thomas McManus,65.0,1550.0,
Phillip Cruz,2008-01-28,Bear Stearns,Jonathan Golub,70.0,1700.0,
Phillip Cruz,2008-01-28,Citigroup,Committee,49.5,1550.0,
Phillip Cruz,2008-01-28,Credit Suisse,,64.0,1570.0,
Phillip Cruz,2008-01-28,Deutsche Bank,Binky Chadha,60.0,1650.0,
Phillip Cruz,2008-01-28,Goldman Sachs,Abby Cohen,75.0,1675.0,
Phillip Cruz,2008-01-28,HSBC,Kevin Gardiner,56.3,1600.0,
Phillip Cruz,2008-01-28,JPMorgan,Thomas Lee,60.0,1590.0,
Phillip Cruz,2008-01-28,Lehman,Ian Scott,72.0,1630.0,
Phillip Cruz,2008-01-28,Merrill Lynch,R. Bernstein,50.0,1550.0,
Phillip Cruz,2008-01-28,Morgan Stanley,A. Chakrabortti,46.0,1500.0,
Phillip Cruz,2008-01-28,Strategas,Jason Trennert,65.0,1640.0,
Phillip Cruz,2008-01-28,UBS,,51.0,1650.0,
Phillip Cruz,2008-01-28,Wachovia,Rod Smyth,63.0,1590.0,
Phillip Cruz,2008-02-04,Bank of America,Thomas McManus,65.0,1550.0,
Phillip Cruz,2008-02-04,Bear Stearns,Jonathan Golub,70.0,1700.0,
Phillip Cruz,2008-02-04,Citigroup,Committee,49.5,1550.0,
Phillip Cruz,2008-02-04,Credit Suisse,,64.0,1570.0,
Phillip Cruz,2008-02-04,Deutsche Bank,Binky Chadha,60.0,1650.0,
Phillip Cruz,2008-02-04,Goldman Sachs,Abby Cohen,75.0,1675.0,
Phillip Cruz,2008-02-04,HSBC,Kevin Gardiner,56.3,1600.0,
Phillip Cruz,2008-02-04,JPMorgan,Thomas Lee,60.0,1590.0,
Phillip Cruz,2008-02-04,Lehman,Ian Scott,72.0,1630.0,
Phillip Cruz,2008-02-04,Merrill Lynch,R. Bernstein,50.0,,
Phillip Cruz,2008-02-04,Morgan Stanley,A. Chakrabortti,46.0,1500.0,
Phillip Cruz,2008-02-04,Strategas,Jason Trennert,65.0,1640.0,
Phillip Cruz,2008-02-04,UBS,,50.5,,
Phillip Cruz,2008-02-04,Wachovia,Rod Smyth,63.0,1590.0,
Phillip Cruz,2008-02-19,Bank of America,Thomas McManus,65.0,1550.0,
Phillip Cruz,2008-02-19,Bear Stearns,Jonathan Golub,70.0,1550.0,
Phillip Cruz,2008-02-19,Citigroup,Committee,49.5,1550.0,
Phillip Cruz,2008-02-19,Credit Suisse,,64.0,1570.0,
Phillip Cruz,2008-02-19,Deutsche Bank,Binky Chadha,60.0,1650.0,
Phillip Cruz,2008-02-19,Goldman Sachs,Abby Cohen,75.0,1675.0,
Phillip Cruz,2008-02-19,HSBC,Kevin Gardiner,56.3,1600.0,
Phillip Cruz,2008-02-19,JPMorgan,Thomas Lee,60.0,1590.0,
Phillip Cruz,2008-02-19,Lehman,Ian Scott,72.0,1630.0,
Phillip Cruz,2008-02-19,Merrill Lynch,R. Bernstein,50.0,,
Phillip Cruz,2008-02-19,Morgan Stanley,A. Chakrabortti,46.0,1500.0,
Phillip Cruz,2008-02-19,Strategas,Jason Trennert,65.0,1640.0,
Phillip Cruz,2008-02-19,UBS,,50.5,,
Phillip Cruz,2008-02-19,Wachovia,Rod Smyth,64.0,1590.0,
Phillip Cruz,2008-02-25,Bear Stearns,Jonathan Golub,70.0,1550.0,
Phillip Cruz,2008-02-25,Citigroup,Committee,49.5,1550.0,
Phillip Cruz,2008-02-25,Credit Suisse,,64.0,1570.0,
Phillip Cruz,2008-02-25,Deutsche Bank,Binky Chadha,60.0,1650.0,
Phillip Cruz,2008-02-25,Goldman Sachs,Abby Cohen,75.0,1675.0,
Phillip Cruz,2008-02-25,HSBC,Kevin Gardiner,56.3,1600.0,
Phillip Cruz,2008-02-25,JPMorgan,Thomas Lee,60.0,1590.0,
Phillip Cruz,2008-02-25,Lehman,Ian Scott,72.0,1630.0,
Phillip Cruz,2008-02-25,Merrill Lynch,R. Bernstein,50.0,,
Phillip Cruz,2008-02-25,Morgan Stanley,A. Chakrabortti,46.0,1500.0,
Phillip Cruz,2008-02-25,Strategas,Jason Trennert,65.0,1640.0,
Phillip Cruz,2008-02-25,UBS,,50.5,,
Phillip Cruz,2008-02-25,Wachovia,Rod Smyth,64.0,1590.0,
Phillip Cruz,2008-03-03,Bear Stearns,Jonathan Golub,70.0,1550.0,
Phillip Cruz,2008-03-03,Citigroup,Committee,49.5,1550.0,
Phillip Cruz,2008-03-03,Credit Suisse,,64.0,1570.0,
Phillip Cruz,2008-03-03,Deutsche Bank,Binky Chadha,60.0,1650.0,
Phillip Cruz,2008-03-03,Goldman Sachs,Abby Cohen,75.0,1675.0,
Phillip Cruz,2008-03-03,HSBC,Kevin Gardiner,56.3,1600.0,
Phillip Cruz,2008-03-03,JPMorgan,Thomas Lee,60.0,1590.0,
