Author,Date,Firm,Stock Allocation %
Oliver Renick,2015-01-07,Bank of America,66.0
Oliver Renick,2015-01-07,HSBC,26.0
Oliver Renick,2015-01-07,Oppenheimer,60.0
Oliver Renick,2015-01-07,UBS,50.5
Oliver Renick,2015-01-30,Bank of America,66.0
Oliver Renick,2015-01-30,HSBC,24.0
Oliver Renick,2015-01-30,Oppenheimer,60.0
Oliver Renick,2015-01-30,UBS,50.5
Oliver Renick,2015-02-27,Bank of America,66.0
Oliver Renick,2015-02-27,HSBC,24.0
Oliver Renick,2015-02-27,Oppenheimer,60.0
Oliver Renick,2015-02-27,UBS,46.0
Oliver Renick,2015-04-02,Bank of America,66.0
Oliver Renick,2015-04-02,HSBC,28.0
Oliver Renick,2015-04-02,Oppenheimer,60.0
Oliver Renick,2015-04-02,UBS,46.0
Oliver Renick,2015-06-30,Bank of America,64.0
Oliver Renick,2015-06-30,HSBC,28.0
Oliver Renick,2015-06-30,Oppenheimer,60.0
Oliver Renick,2015-06-30,Scotiabank,60.0
Oliver Renick,2015-06-30,Wells Fargo,41.0
Oliver Renick,2015-08-10,Ameriprise,53.0
Oliver Renick,2015-08-10,Bank of America,64.0
Oliver Renick,2015-08-10,HSBC,28.0
Oliver Renick,2015-08-10,Oppenheimer,60.0
Oliver Renick,2015-08-10,Scotiabank,60.0
Oliver Renick,2015-08-10,Wells Fargo,43.0
Oliver Renick,2015-08-31,Ameriprise,53.0
Oliver Renick,2015-08-31,Bank of America,64.0
Oliver Renick,2015-08-31,HSBC,28.0
Oliver Renick,2015-08-31,Oppenheimer,60.0
Oliver Renick,2015-08-31,Scotiabank,60.0
Oliver Renick,2015-08-31,Wells Fargo,55.0
Oliver Renick,2015-10-12,Ameriprise,53.0
Oliver Renick,2015-10-12,Bank of America,64.0
Oliver Renick,2015-10-12,HSBC,21.0
Oliver Renick,2015-10-12,Oppenheimer,60.0
Oliver Renick,2015-10-12,Scotiabank,60.0
Oliver Renick,2015-10-12,Wells Fargo,55.0
